"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","13,446","e"
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","13,803","u"
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","13,554","e"
"2008","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,020","e"
"2008","European Union (current composition)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","European Union (current composition)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over",":",""
"2008","European Union (current composition)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","European Union (current composition)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over",":",""
"2008","European Union (current composition)","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2008","European Union (current composition)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2008","European Union (before the accession of Croatia)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","European Union (before the accession of Croatia)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","13,446","e"
"2008","European Union (before the accession of Croatia)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","European Union (before the accession of Croatia)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","13,803","u"
"2008","European Union (before the accession of Croatia)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","13,554","e"
"2008","European Union (before the accession of Croatia)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,020",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","EU28 countries (current composition) except reporting country","Total","18 years or over",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","EU27 countries (before the accession of Croatia) except reporting country","Total","18 years or over","12,269","e"
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Non-EU28 countries (current composition) nor reporting country","Total","18 years or over",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Non-EU27 countries (before the accession of Croatia) nor reporting country","Total","18 years or over","13,393","e"
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","12,847","e"
