"TIME","GEO","SEVERITY","AGE","NACE_R1","UNIT","Value","Flag and Footnotes"
"1998","European Union (before the accession of Croatia)","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","European Union (before the accession of Croatia)","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","European Union (before the accession of Croatia)","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","European Union (before the accession of Croatia)","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","European Union (before the accession of Croatia)","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","European Union (15 countries)","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2,858",""
"1998","European Union (15 countries)","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","23",""
"1998","European Union (15 countries)","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","268",""
"1998","European Union (15 countries)","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","643",""
"1998","European Union (15 countries)","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","615",""
"1998","European Union (15 countries) and Norway","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2,894",""
"1998","European Union (15 countries) and Norway","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","23",""
"1998","European Union (15 countries) and Norway","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","268",""
"1998","European Union (15 countries) and Norway","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","649",""
"1998","European Union (15 countries) and Norway","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","623",""
"1998","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","2,569",""
"1998","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","20",""
"1998","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","249",""
"1998","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","590",""
"1998","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","555",""
"1998","Euro area (12 countries)","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Euro area (12 countries)","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Euro area (12 countries)","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Euro area (12 countries)","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Euro area (12 countries)","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Belgium","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","50",""
"1998","Belgium","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","0",""
"1998","Belgium","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","5",""
"1998","Belgium","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","16",""
"1998","Belgium","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number","14",""
"1998","Bulgaria","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Bulgaria","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Bulgaria","Fatal","From 18 to 24 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Bulgaria","Fatal","From 25 to 34 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Bulgaria","Fatal","From 35 to 44 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Czechia","Fatal","Total","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
"1998","Czechia","Fatal","Less than 18 years","Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; financial intermediation; real estate","Number",":",""
